timestamp,soil1,soil2,light,vandstand,pumpe
22-05-2026 14:19:37,98.2,98.4,17,Massere af vand,FRA
22-05-2026 14:19:38,98.1,99.1,15,Massere af vand,FRA
22-05-2026 14:20:20,98.1,98.8,17,Massere af vand,FRA
22-05-2026 14:20:21,97.9,99.4,18,Massere af vand,FRA
22-05-2026 14:20:22,97.6,99.0,19,Massere af vand,FRA
22-05-2026 14:20:23,97.6,99.0,19,Massere af vand,FRA
22-05-2026 14:20:24,97.8,99.1,14,Massere af vand,FRA
22-05-2026 14:20:25,97.7,98.9,18,Massere af vand,FRA
22-05-2026 14:20:26,98.1,98.7,17,Massere af vand,FRA
22-05-2026 14:20:27,98.1,99.2,16,Massere af vand,FRA
22-05-2026 14:20:28,97.5,98.5,16,Massere af vand,FRA
22-05-2026 14:20:29,97.7,99.5,17,Massere af vand,FRA
22-05-2026 14:20:30,97.9,99.5,15,Massere af vand,FRA
22-05-2026 14:20:31,97.3,99.1,18,Massere af vand,FRA
22-05-2026 14:20:32,98.1,98.5,13,Massere af vand,FRA
22-05-2026 14:20:33,97.8,98.8,18,Massere af vand,FRA
22-05-2026 14:20:34,97.5,98.9,16,Massere af vand,FRA
22-05-2026 14:20:35,98.1,99.0,17,Massere af vand,FRA
22-05-2026 14:20:36,97.7,98.4,15,Massere af vand,FRA
22-05-2026 14:20:37,97.7,99.1,17,Massere af vand,FRA
22-05-2026 14:20:38,97.7,99.5,16,Massere af vand,FRA
22-05-2026 14:20:39,98.2,98.9,17,Massere af vand,FRA
22-05-2026 14:20:40,98.6,98.7,15,Massere af vand,FRA
22-05-2026 14:20:41,98.3,99.3,17,Massere af vand,FRA
22-05-2026 14:20:42,97.7,98.7,17,Massere af vand,FRA
22-05-2026 14:20:43,98.7,98.9,17,Massere af vand,FRA
22-05-2026 14:20:53,98.3,99.3,17,Massere af vand,FRA
22-05-2026 14:20:54,98.0,99.1,16,Massere af vand,FRA
22-05-2026 14:20:55,97.9,99.1,14,Massere af vand,FRA
22-05-2026 14:20:56,98.1,99.2,14,Ukendt,FRA
22-05-2026 14:20:57,97.7,99.2,17,Massere af vand,FRA
22-05-2026 14:20:58,98.5,98.9,16,Massere af vand,FRA
22-05-2026 14:20:59,97.8,98.7,19,Massere af vand,FRA
22-05-2026 14:21:00,98.3,99.2,16,Massere af vand,FRA
22-05-2026 14:21:01,97.3,98.5,18,Massere af vand,FRA
22-05-2026 14:21:02,97.5,99.0,17,Massere af vand,FRA
22-05-2026 14:21:03,98.1,99.1,17,Massere af vand,FRA
22-05-2026 14:21:04,98.1,99.3,17,Massere af vand,FRA
22-05-2026 14:21:05,97.2,98.9,17,Massere af vand,FRA
22-05-2026 14:21:06,98.0,99.2,16,Massere af vand,FRA
22-05-2026 14:21:07,98.1,99.1,18,Massere af vand,FRA
22-05-2026 14:21:08,97.5,98.8,14,Massere af vand,FRA
22-05-2026 14:21:09,97.9,98.4,17,Massere af vand,FRA
22-05-2026 14:21:10,98.2,99.3,16,Massere af vand,FRA
22-05-2026 14:21:11,97.3,98.4,15,Massere af vand,FRA
22-05-2026 14:21:12,98.2,98.8,16,Massere af vand,FRA
22-05-2026 14:21:13,97.8,99.4,16,Massere af vand,FRA
22-05-2026 14:21:14,97.7,98.9,14,Massere af vand,FRA
22-05-2026 14:21:15,97.5,98.8,15,Massere af vand,FRA
22-05-2026 14:21:16,97.3,98.5,15,Massere af vand,FRA
22-05-2026 14:21:17,97.7,98.5,16,Massere af vand,FRA
22-05-2026 14:21:18,98.3,99.0,15,Massere af vand,FRA
22-05-2026 14:21:19,97.9,99.3,16,Massere af vand,FRA
22-05-2026 14:21:20,97.5,98.6,14,Massere af vand,FRA
22-05-2026 14:21:21,97.9,99.0,16,Massere af vand,FRA
22-05-2026 14:21:22,97.8,99.2,15,Massere af vand,FRA
22-05-2026 14:21:23,97.8,98.7,16,Massere af vand,FRA
22-05-2026 14:21:24,97.9,98.9,15,Massere af vand,FRA
22-05-2026 14:21:25,97.7,99.0,15,Massere af vand,FRA
22-05-2026 14:21:26,97.9,99.3,15,Massere af vand,FRA
22-05-2026 14:21:27,98.1,99.1,15,Massere af vand,FRA
22-05-2026 14:21:28,98.0,99.0,18,Massere af vand,FRA
22-05-2026 14:21:29,98.3,99.1,14,Massere af vand,FRA
22-05-2026 14:21:30,97.3,100.0,16,Massere af vand,FRA
22-05-2026 14:21:31,97.9,98.2,15,Massere af vand,FRA
22-05-2026 14:21:32,97.9,99.1,17,Massere af vand,FRA
22-05-2026 14:21:33,97.4,99.5,14,Massere af vand,FRA
22-05-2026 14:21:34,97.6,98.9,16,Massere af vand,FRA
22-05-2026 14:21:35,97.9,99.1,18,Massere af vand,FRA
22-05-2026 14:21:36,97.6,99.1,18,Massere af vand,FRA
22-05-2026 14:21:37,98.0,99.1,17,Massere af vand,FRA
22-05-2026 14:21:38,98.2,99.6,16,Massere af vand,FRA
22-05-2026 14:21:39,97.9,99.0,16,Massere af vand,FRA
22-05-2026 14:21:40,98.0,99.6,17,Massere af vand,FRA
22-05-2026 14:21:41,98.5,99.0,14,Massere af vand,FRA
22-05-2026 14:21:42,97.3,98.4,18,Massere af vand,FRA
22-05-2026 14:21:43,97.3,99.3,16,Massere af vand,FRA
22-05-2026 14:21:44,97.1,98.9,17,Massere af vand,FRA
22-05-2026 14:21:45,98.4,98.8,15,Massere af vand,FRA
22-05-2026 14:21:46,97.9,98.9,15,Massere af vand,FRA
22-05-2026 14:21:47,97.7,98.6,16,Massere af vand,FRA
22-05-2026 14:21:48,97.8,98.1,16,Massere af vand,FRA
22-05-2026 14:21:49,97.3,99.1,18,Massere af vand,FRA
22-05-2026 14:21:50,98.2,99.4,16,Massere af vand,FRA
22-05-2026 14:21:51,97.7,99.3,16,Massere af vand,FRA
22-05-2026 14:21:52,98.2,98.9,18,Massere af vand,FRA
22-05-2026 14:21:53,97.9,99.4,17,Massere af vand,FRA
22-05-2026 14:21:54,98.2,99.5,17,Massere af vand,FRA
22-05-2026 14:21:55,98.1,99.1,17,Massere af vand,FRA
22-05-2026 14:21:56,97.1,99.1,19,Massere af vand,FRA
22-05-2026 14:21:57,98.3,99.6,14,Massere af vand,FRA
22-05-2026 14:21:58,97.3,99.2,18,Massere af vand,FRA
22-05-2026 14:21:59,98.1,99.0,17,Massere af vand,FRA
22-05-2026 14:22:00,97.6,99.1,18,Massere af vand,FRA
22-05-2026 14:22:01,97.3,98.5,16,Massere af vand,FRA
22-05-2026 14:22:02,97.6,98.7,18,Massere af vand,FRA
22-05-2026 14:22:03,97.9,98.1,16,Massere af vand,FRA
22-05-2026 14:22:04,98.0,99.1,16,Massere af vand,FRA
22-05-2026 14:22:05,97.3,98.9,16,Massere af vand,FRA
22-05-2026 14:22:10,98.3,98.9,17,Massere af vand,FRA
22-05-2026 14:22:12,98.0,98.8,16,Massere af vand,FRA
22-05-2026 14:22:13,97.9,98.9,18,Massere af vand,FRA
22-05-2026 14:22:14,97.9,99.0,14,Massere af vand,FRA
22-05-2026 14:22:15,97.1,98.7,18,Massere af vand,FRA
22-05-2026 14:22:30,98.1,99.1,17,Massere af vand,FRA
22-05-2026 14:22:31,97.7,98.7,17,Massere af vand,FRA
22-05-2026 14:22:32,98.2,98.8,16,Massere af vand,FRA
22-05-2026 14:22:33,98.5,98.9,16,Massere af vand,FRA
22-05-2026 14:22:34,97.9,99.0,17,Massere af vand,FRA
22-05-2026 14:22:35,97.7,99.3,16,Massere af vand,FRA
22-05-2026 14:22:36,97.6,98.9,16,Massere af vand,FRA
22-05-2026 14:22:37,98.3,98.7,14,Massere af vand,FRA
22-05-2026 14:22:38,97.6,98.8,18,Massere af vand,FRA
22-05-2026 14:22:39,98.1,98.7,15,Massere af vand,FRA
22-05-2026 14:22:40,97.2,99.0,15,Massere af vand,FRA
22-05-2026 14:22:41,98.1,99.1,15,Massere af vand,FRA
22-05-2026 14:22:42,97.9,98.7,16,Massere af vand,FRA
22-05-2026 14:22:43,97.8,99.3,19,Massere af vand,FRA
22-05-2026 14:22:44,98.1,99.1,16,Massere af vand,FRA
22-05-2026 14:22:45,98.2,98.6,15,Massere af vand,FRA
22-05-2026 14:22:46,97.9,99.0,16,Massere af vand,FRA
22-05-2026 14:22:47,97.0,99.2,16,Massere af vand,FRA
22-05-2026 14:22:48,97.7,98.7,15,Massere af vand,FRA
22-05-2026 14:22:49,97.5,99.3,15,Massere af vand,FRA
22-05-2026 14:22:50,97.5,99.4,17,Massere af vand,FRA
22-05-2026 14:22:51,97.9,98.5,16,Massere af vand,FRA
22-05-2026 14:22:52,98.1,98.3,16,Massere af vand,FRA
22-05-2026 14:22:53,97.1,98.5,17,Massere af vand,FRA
22-05-2026 14:22:54,98.0,99.0,15,Massere af vand,FRA
22-05-2026 14:22:55,98.0,99.1,17,Massere af vand,FRA
22-05-2026 14:22:56,97.3,99.1,18,Massere af vand,FRA
22-05-2026 14:22:57,97.9,98.7,14,Massere af vand,FRA
22-05-2026 14:22:58,97.7,98.8,18,Massere af vand,FRA
22-05-2026 14:22:59,97.5,98.7,13,Massere af vand,FRA
22-05-2026 14:23:00,97.6,98.2,17,Massere af vand,FRA
